stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id,WGS84,Israel1993,yx,y,x,betweeness,log-betweeness,central
89,38919,וייצמן/החרש,רחוב: וייצמן עיר: נס ציונה רציף:  קומה:,31.923041,34.798033,0,,38919,POINT (34.798033 31.923041),POINT (181014.4500071213 647849.4707172547),[647849.4707172547 181014.4500071213],647849.4707172547,181014.4500071213,7.913359404243826E-4,-7.141787976913375,false
90,38920,שדרות משה דיין/יוסף לישנסקי,רחוב: שדרות משה דיין עיר: ראשון לציון רציף:  קומה:,31.98568,34.764014,0,,38920,POINT (34.764014 31.98568),POINT (177825.39733120898 654807.9948522744),[654807.9948522744 177825.39733120898],654807.9948522744,177825.39733120898,0.0015786347811554784,-6.451194868020316,true
91,38921,השר חיים שפירא/יוסף ספיר,רחוב: השר חיים משה שפירא 4 עיר: ראשון לציון רציף:  קומה:,31.992583,34.751999,0,,38921,POINT (34.751999 31.992583),POINT (176693.0619302129 655578.1510188649),[655578.1510188649 176693.0619302129],655578.1510188649,176693.0619302129,0.0,-Infinity,false
92,38922,השר חיים שפירא/הרב שלום ג'רופי,רחוב: השר חיים משה שפירא 16 עיר: ראשון לציון רציף:  קומה:,31.990757,34.755683,0,,38922,POINT (34.755683 31.990757),POINT (177040.37057296984 655374.216316326),[655374.216316326 177040.37057296984],655374.216316326,177040.37057296984,0.0,-Infinity,false
94,39001,שדרות יעקב/נחמיה,רחוב: שדרות יעקב 65 עיר: ראשון לציון רציף:  קומה:,31.950002,34.819131,0,,39001,POINT (34.819131 31.950002),POINT (183020.40821157576 650831.8289881197),[650831.8289881197 183020.40821157576],650831.8289881197,183020.40821157576,5.8492158377316966E-5,-9.746617857543463,false
95,39002,שדרות יעקב/יוסף הנשיא,רחוב: שדרות יעקב 53 עיר: ראשון לציון רציף:  קומה:,31.951813,34.820214,0,,39002,POINT (34.820214 31.951813),POINT (183123.5146303996 651032.2835134306),[651032.2835134306 183123.5146303996],651032.2835134306,183123.5146303996,9.908368669505894E-4,-6.91696065176539,false
97,39004,לייב יוספזון/יעקב ברמן,רחוב: יהודה לייב יוספזון עיר: רחובות רציף:  קומה:,31.905052,34.818909,0,,39004,POINT (34.818909 31.905052),POINT (182981.67837652587 645847.4985046772),[645847.4985046772 182981.67837652587],645847.4985046772,182981.67837652587,0.0025220767091738952,-5.982672625893285,true
98,39005,הרב יעקב ברמן/הרב יהודה צבי מלצר,רחוב: הרב יעקב ברמן 4 עיר: רחובות רציף:  קומה:,31.901879,34.819443,0,,39005,POINT (34.819443 31.901879),POINT (183030.94094120938 645495.4734065246),[645495.4734065246 183030.94094120938],645495.4734065246,183030.94094120938,1.8913810360629283E-4,-8.573033102829347,false
99,39006,ברמן/מלצר,רחוב: הרב יעקב ברמן עיר: רחובות רציף:  קומה:,31.90281,34.818922,0,,39006,POINT (34.818922 31.90281),POINT (182982.0238368757 645598.8846740249),[645598.8846740249 182982.0238368757],645598.8846740249,182982.0238368757,1.4160952396725178E-4,-8.862437119310751,false
100,39007,הנשיא הראשון/מכון ויצמן,רחוב: הנשיא הראשון 55 עיר: רחובות רציף:  קומה:,31.904618,34.815531,0,,39007,POINT (34.815531 31.904618),POINT (182661.97292245703 645800.5149236448),[645800.5149236448 182661.97292245703],645800.5149236448,182661.97292245703,2.4375965401053423E-4,-8.319327842673559,false
101,39008,הנשיא הראשון/קיפניס,רחוב: הנשיא הראשון 56 עיר: רחובות רציף:  קומה:,31.904755,34.816661,0,,39008,POINT (34.816661 31.904755),POINT (182768.91707532603 645815.3235222005),[645815.3235222005 182768.91707532603],645815.3235222005,182768.91707532603,2.502608351022707E-4,-8.293006843594267,false
102,39009,שמחה הולצברג/אברהם ליכטנשטיין,רחוב: שמחה הולצברג 1 עיר: באר יעקב רציף:  קומה:,31.932562,34.831995,0,,39009,POINT (34.831995 31.932562),POINT (184229.99904077133 648893.6865713687),[648893.6865713687 184229.99904077133],648893.6865713687,184229.99904077133,0.0,-Infinity,false
103,39010,שמחה הולצברג/אברהם ליכטנשטיין,רחוב: שמחה הולצברג 11 עיר: באר יעקב רציף:  קומה:,31.932649,34.831881,0,,39010,POINT (34.831881 31.932649),POINT (184219.25192259724 648903.3708867065),[648903.3708867065 184219.25192259724],648903.3708867065,184219.25192259724,0.0,-Infinity,false
105,39012,הירדן/הערבה,רחוב: הירדן 23 עיר: באר יעקב רציף:  קומה:,31.937387,34.838609,0,,39012,POINT (34.838609 31.937387),POINT (184857.25310107984 649426.588386629),[649426.588386629 184857.25310107984],649426.588386629,184857.25310107984,4.331482469711066E-5,-10.047015609793915,false
106,39013,הירדן/חרוד,רחוב: הירדן 22 עיר: באר יעקב רציף:  קומה:,31.936925,34.838341,0,,39013,POINT (34.838341 31.936925),POINT (184831.73806465615 649375.443854382),[649375.443854382 184831.73806465615],649375.443854382,184831.73806465615,2.955626555137392E-4,-8.126629711398376,false
107,39014,האלונים/הדקל,רחוב: שדרות האלונים עיר: באר יעקב רציף:  קומה:,31.939037,34.831964,0,,39014,POINT (34.831964 31.939037),POINT (184229.5371164372 649611.6954090605),[649611.6954090605 184229.5371164372],649611.6954090605,184229.5371164372,8.327957059065432E-5,-9.393307289882978,false
108,39015,האלונים/שמואל שפירא,רחוב: שדרות האלונים עיר: באר יעקב רציף:  קומה:,31.94226,34.831681,0,,39015,POINT (34.831681 31.94226),POINT (184204.00771205017 649969.1792745368),[649969.1792745368 184204.00771205017],649969.1792745368,184204.00771205017,2.7197005443474394E-4,-8.209818591718976,false
110,39017,האלונים א/הדקל,רחוב: שדרות האלונים עיר: באר יעקב רציף:  קומה:,31.939656,34.832104,0,,39017,POINT (34.832104 31.939656),POINT (184243.01117970323 649680.2894911239),[649680.2894911239 184243.01117970323],649680.2894911239,184243.01117970323,2.848221194505681E-4,-8.163645714832208,false
128,39035,אלמוג סנטר/אפרים קישון,רחוב: אפרים קישון 20 עיר: באר יעקב רציף:  קומה:,31.941611,34.843114,0,,39035,POINT (34.843114 31.941611),POINT (185284.80478450327 649893.5483693915),[649893.5483693915 185284.80478450327],649893.5483693915,185284.80478450327,7.229098287122152E-5,-9.534811154817888,false
132,39039,גן חק''ל/רבאט,רחוב: רבאט עיר: רמלה רציף:  קומה:,31.931068,34.884936,0,,39039,POINT (34.884936 31.931068),POINT (189235.82053013798 648712.0277817271),[648712.0277817271 189235.82053013798],648712.0277817271,189235.82053013798,2.1258519032385265E-4,-8.45616775429533,false
133,39040,גן חק''ל/רבאט,רחוב: רבאט עיר: רמלה רציף:  קומה:,31.931204,34.884956,0,,39040,POINT (34.884956 31.931204),POINT (189237.75632366547 648727.1029000636),[648727.1029000636 189237.75632366547],648727.1029000636,189237.75632366547,3.0790199669147103E-6,-12.690899204172943,false
134,39041,קניון צ. רמלה לוד/דוכיפת,רחוב: דוכיפת עיר: רמלה רציף:  קומה:,31.933379,34.887207,0,,39041,POINT (34.887207 31.933379),POINT (189451.32910592365 648967.6574763864),[648967.6574763864 189451.32910592365],648967.6574763864,189451.32910592365,1.627237078301883E-4,-8.723456839356597,false
135,39042,היצירה/התקווה,רחוב: היצירה 2 עיר: רמלה רציף:  קומה:,31.929318,34.880069,0,,39042,POINT (34.880069 31.929318),POINT (188774.98966440072 648519.3427753035),[648519.3427753035 188774.98966440072],648519.3427753035,188774.98966440072,2.185264608023113E-5,-10.731188541684864,false
136,39043,היצירה/התקווה,רחוב: היצירה עיר: רמלה רציף:  קומה:,31.929199,34.879993,0,,39043,POINT (34.879993 31.929199),POINT (188767.7630308944 648506.1686926486),[648506.1686926486 188767.7630308944],648506.1686926486,188767.7630308944,6.391779467849047E-5,-9.657912758376618,false
137,39044,עמל/היצירה,רחוב: עמל עיר: רמלה רציף:  קומה:,31.932402,34.881442,0,,39044,POINT (34.881442 31.932402),POINT (188905.85027243558 648860.931779892),[648860.931779892 188905.85027243558],648860.931779892,188905.85027243558,5.080514556815311E-6,-12.190098010791766,false
138,39045,נווה תרצה,רחוב:   עיר: רמלה רציף:  קומה:,31.934488,34.879631,0,,39045,POINT (34.879631 31.934488),POINT (188735.28858632658 649092.7553931038),[649092.7553931038 188735.28858632658],649092.7553931038,188735.28858632658,0.0,-Infinity,false
141,39048,ישראל פרנקל/הרמב''ם,רחוב: ישראל פרנקל עיר: רמלה רציף:  קומה:,31.934896,34.863001,0,,39048,POINT (34.863001 31.934896),POINT (187162.86643377034 649142.8348869366),[649142.8348869366 187162.86643377034],649142.8348869366,187162.86643377034,0.0,-Infinity,false
144,39051,ישראל פרנקל/דוב הוז,רחוב: ישראל פרנקל 17 עיר: רמלה רציף:  קומה:,31.935488,34.863972,0,,39051,POINT (34.863972 31.935488),POINT (187254.89207444614 649208.1912965215),[649208.1912965215 187254.89207444614],649208.1912965215,187254.89207444614,0.0,-Infinity,false
145,39052,יוספטל/הדס,רחוב: גיורא יוספטל 6 עיר: רמלה רציף:  קומה:,31.936109,34.857638,0,,39052,POINT (34.857638 31.936109),POINT (186656.16357174618 649278.9531465786),[649278.9531465786 186656.16357174618],649278.9531465786,186656.16357174618,9.900767881742365E-5,-9.22031314702524,false
147,39054,עמיחי/מאיר בינט,רחוב: עמיחי 3 עיר: רמלה רציף:  קומה:,31.936308,34.856334,0,,39054,POINT (34.856334 31.936308),POINT (186532.92784016472 649301.4154335532),[649301.4154335532 186532.92784016472],649301.4154335532,186532.92784016472,0.0,-Infinity,false
148,39055,השריון/הצנחנים,רחוב: השריון עיר: רמלה רציף:  קומה:,31.933337,34.856046,0,,39055,POINT (34.856046 31.933337),POINT (186504.63466464076 648972.0556811069),[648972.0556811069 186504.63466464076],648972.0556811069,186504.63466464076,0.0,-Infinity,false
149,39056,אהרון בוגנים/משה שרת,רחוב: שמחה הולצברג עיר: רמלה רציף:  קומה:,31.933413,34.853906,0,,39056,POINT (34.853906 31.933413),POINT (186302.29675076273 648981.1361419518),[648981.1361419518 186302.29675076273],648981.1361419518,186302.29675076273,1.006143143997693E-5,-11.506801113158824,false
150,39057,גרשון ש''ץ/שמחה הולצברג,רחוב: שמחה הולצברג 10 עיר: רמלה רציף:  קומה:,31.932532,34.853223,0,,39057,POINT (34.853223 31.932532),POINT (186237.39333912908 648883.6533528266),[648883.6533528266 186237.39333912908],648883.6533528266,186237.39333912908,5.748717623979884E-7,-14.369118842938688,false
151,39058,הולצברג/שץ,רחוב: שמחה הולצברג 4 עיר: רמלה רציף:  קומה:,31.93166,34.853149,0,,39058,POINT (34.853149 31.93166),POINT (186230.08196785048 648786.9820095528),[648786.9820095528 186230.08196785048],648786.9820095528,186230.08196785048,0.0,-Infinity,false
152,39059,אשכול/הרב שפירא,רחוב: לוי אשכול 11 עיר: רמלה רציף:  קומה:,31.929827,34.857194,0,,39059,POINT (34.857194 31.929827),POINT (186611.94527921866 648582.4914510378),[648582.4914510378 186611.94527921866],648582.4914510378,186611.94527921866,3.6224317114231906E-4,-7.923194828170102,false
