yishuv,none,red,red-purple,delta-red,delta-purple
"[6200 ""בת ים""]",10.82591093117409,10.74124513618677,10.74124513618677,0.08466579498731974,0.0
"[7900 ""פתח תקווה""]",10.609567901234568,9.952815829528157,9.952815829528157,0.6567520717064106,0.0
"[681 ""גבעת שמואל""]",10.44186046511628,10.081395348837209,10.0625,0.3604651162790713,0.01889534883720856
"[6100 ""בני ברק""]",8.0375,7.656378600823046,7.656378600823046,0.381121399176954,0.0
"[8600 ""רמת גן""]",8.664285714285715,8.50354609929078,8.537671232876713,0.1607396149949345,-0.03412513358593294
"[5000 ""תל אביב -יפו""]",7.489614243323442,7.103232916972814,6.954710144927536,0.3863813263506275,0.1485227720452782
"[2400 ""אור יהודה""]",11.10344827586207,11.10344827586207,11.090425531914894,0.0,0.013022743947175286
"[9400 ""יהוד""]",11.553191489361701,11.553191489361701,11.450980392156863,0.0,0.10221109720483845
"[2620 ""קריית אונו""]",10.971223021582734,10.971223021582734,10.965034965034965,0.0,0.006188056547768994
