stop_lat0,stop_lat1,stop_lon0,stop_lon1,stop_id0,stop_id1,w,yx-distance
32.080511,32.085774,34.841412,34.83915,13037,13039,1,621.4640054015562
32.085001,32.085774,34.840061,34.83915,13038,13039,1,121.42756839260264
32.085001,32.0856,34.840061,34.837347,13038,13040,1,264.69292662468155
32.085774,32.0856,34.83915,34.837347,13039,13040,1,171.30682678136847
32.059454,32.061845,34.786354,34.777575,12975,13042,1,870.3998650029578
32.094143,32.090518,34.822193,34.825597,12900,13043,1,514.6341042197981
32.092133,32.090518,34.822562,34.825597,12939,13043,1,337.87676719541565
32.046202,32.043154,34.813526,34.818081,12981,13044,1,547.109211632047
32.045144,32.043154,34.808098,34.818081,12985,13044,1,968.3764878472194
32.079364,32.079233,34.821279,34.825057,12931,13048,1,356.9924564861153
32.106708,32.108106,34.802776,34.801446,12936,13049,1,199.47863005972422
32.110208,32.113964,34.80153,34.801289,13050,13051,1,417.1304608310255
32.113964,32.117801,34.801289,34.801382,13051,13052,1,425.58286277341915
32.106557,32.103618,34.827452,34.827642,12973,13053,1,326.40314219531405
32.122078,32.119043,34.798889,34.801869,12943,13054,1,438.58886631405807
32.061549,32.063554,34.77366,34.773702,12904,13055,1,222.37238985278867
32.061662,32.063554,34.771205,34.773702,12949,13055,1,315.6239847570891
32.061845,32.063554,34.777575,34.773702,13042,13055,1,411.917960101271
32.072666,32.073136,34.79339,34.794982,12824,13056,1,159.09728603888303
32.069847,32.073136,34.793808,34.794982,12987,13056,1,381.19514090384894
32.073136,32.077451,34.794982,34.796819,13056,13058,1,508.961771909314
32.077451,32.078727,34.796819,34.798278,13058,13059,1,197.47712482744052
32.07658,32.078797,34.796208,34.79821,13057,13060,1,310.11155772779784
32.060644,32.064876,34.791891,34.792274,13000,13062,1,470.68271679666606
32.053834,32.054622,34.793863,34.791709,12993,13063,1,221.39787347963062
32.067083,32.069303,34.779432,34.780756,12935,13065,1,276.10496259465066
32.067083,32.064609,34.779432,34.777217,12935,13066,1,344.9820833232486
32.062113,32.063825,34.804298,34.796455,12886,13070,1,764.5681377143894
32.065676,32.065133,34.785302,34.787835,12945,13071,1,246.65085137366557
32.12281,32.140398,34.903897,34.80238,743,13074,1,9775.695332593194
32.061549,32.06059,34.77366,34.775001,12904,13075,1,165.3651785349701
32.061845,32.06059,34.777575,34.775001,13042,13075,1,280.0916852804102
32.059086,32.059204,34.795294,34.791053,12925,13079,1,400.71311901240216
32.044958,32.045205,34.8114,34.808983,12969,13082,1,229.92157540803612
32.046202,32.045205,34.813526,34.808983,12981,13082,1,443.095300202726
32.046062,32.045205,34.804024,34.808983,13081,13082,1,477.91606067336056
32.059304,32.059214,34.790544,34.79378,12968,13083,1,305.75467894535495
32.059183,32.059214,34.798721,34.79378,12988,13083,1,466.616274766295
32.059696,32.059214,34.792069,34.79378,12999,13083,1,170.18898201142696
32.106733,32.105466,34.830514,34.827796,13030,13087,1,292.49663003731405
32.106733,32.103514,34.830514,34.827868,13030,13088,1,435.6547234554919
32.105466,32.103514,34.827796,34.827868,13087,13088,1,216.5668285280544
32.063554,32.063639,34.773702,34.770359,13055,13089,1,315.8226813620311
32.062167,32.063639,34.773355,34.770359,13084,13089,1,326.6290326340482
32.103618,32.101244,34.827642,34.827845,13053,13090,1,263.95270331283564
32.061662,32.063828,34.771205,34.769838,12949,13091,1,272.6815825321959
32.060644,32.062878,34.791891,34.792016,13000,13092,1,248.01173554115044
32.064876,32.062878,34.792274,34.792016,13062,13092,1,222.89591224348277
32.105868,32.106365,34.820154,34.816519,12899,13093,1,347.4937986320048
32.059696,32.061469,34.792069,34.792128,12999,13095,1,196.6887728612077
32.095157,32.10372,34.794466,34.797126,13067,13096,1,982.2014431506743
32.045478,32.043843,34.813616,34.816924,12905,13098,1,361.2349146672782
32.044958,32.043843,34.8114,34.816924,12969,13098,1,536.1927881880137
32.105466,32.106049,34.827796,34.81943,13087,13099,1,792.2834792505705
32.106288,32.106049,34.822207,34.81943,13097,13099,1,263.44800774278974
32.108106,32.111216,34.801446,34.801737,13049,13100,1,345.96550227443595
32.072666,32.074592,34.79339,34.790584,12824,13103,1,340.30854171997987
32.094143,32.085857,34.822193,34.822385,12900,13104,1,919.0238968790912
32.082033,32.085857,34.820663,34.822385,12937,13104,1,454.14379342341675
32.088772,32.085857,34.82271,34.822385,12941,13104,1,324.7007985784327
32.061845,32.058329,34.777575,34.773308,13042,13108,1,560.7019536910963
32.063554,32.066146,34.773702,34.777553,13055,13111,1,463.5254263800054
32.058525,32.048689,34.803997,34.813804,12912,13112,1,1430.902796887984
32.054438,32.048689,34.810845,34.813804,12929,13112,1,696.0715127867265
32.046202,32.048689,34.813526,34.813804,12981,13112,1,277.03201373390846
32.043154,32.048689,34.818081,34.813804,13044,13112,1,734.7828009492451
32.072666,32.071549,34.79339,34.794118,12824,13113,1,141.66060664391256
32.07658,32.071549,34.796208,34.794118,13057,13113,1,591.7665771580778
32.062167,32.061337,34.773355,34.773616,13084,13114,1,95.28266714585432
32.063639,32.061337,34.770359,34.773616,13089,13114,1,399.6995058110523
32.058329,32.061337,34.773308,34.773616,13108,13114,1,334.82655022631843
32.106708,32.105834,34.802776,34.800065,12936,13117,1,273.62206654709394
32.103428,32.105834,34.795796,34.800065,13072,13117,1,483.2690182904742
32.10609,32.108604,34.800994,34.80138,12944,13118,1,281.1524918325322
32.110208,32.108604,34.80153,34.80138,13050,13118,1,178.43301681731157
32.103428,32.108604,34.795796,34.80138,13072,13118,1,779.2540460609057
32.105834,32.108604,34.800065,34.80138,13117,13118,1,331.29839329079124
32.063554,32.048142,34.773702,34.769184,13055,13119,1,1761.5106324989981
32.092133,32.09139,34.822562,34.824447,12939,13120,1,196.09554561697024
32.091763,32.09139,34.828052,34.824447,13032,13120,1,342.8219234687934
32.09015,32.09139,34.819543,34.824447,13035,13120,1,482.93869481772185
32.090518,32.09139,34.825597,34.824447,13043,13120,1,145.38282170352662
32.089649,32.09139,34.818457,34.824447,13101,13120,1,597.5209886999465
32.063416,32.061823,34.780072,34.777831,12952,13122,1,275.66057105610093
32.060522,32.061823,34.781999,34.777831,13019,13122,1,419.20475144003046
32.062167,32.061823,34.773355,34.777831,13084,13122,1,424.3971189876334
32.061337,32.061823,34.773616,34.777831,13114,13122,1,401.6661493098978
32.083245,32.084227,34.804764,34.808446,12911,13123,1,364.27401405033623
32.112327,32.112655,34.797919,34.801364,12920,13126,1,327.1680422506966
32.110208,32.112655,34.80153,34.801364,13050,13126,1,271.80428787944896
32.113964,32.112655,34.801289,34.801364,13051,13126,1,145.32996546239485
